holdout_type,holdout_group,landmark_cycle,horizon_cycle,recalibration_fraction,n_splits,seed,target_cells_total,target_events_total,labelled_cells,events_in_subset,events_in_subset_min,events_in_subset_max,one_class_share,sd_eta,mean_eta,n_eff_mean,n_eff_median,n_eff_p05,n_eff_p95,se_slope_at_mean_neff,log_loss_before,log_loss_after,log_loss_gain,se
source,CALB,200,800,0.3,100,20260702,23,4,7.0,1.22,0,4,0.21,0.2269556222333503,-0.4277318990018221,0.1238005701801901,0.0730468976944413,0.0144693636042283,0.3697958393409634,2.842095569166564,0.7446245170605956,0.6177890842599695,0.1268354328006261,2.8420955691665637
source,CALB,200,1000,0.3,100,20260702,21,4,7.0,1.3,0,3,0.14,0.286393753825849,-0.148839635302147,0.1970051326244472,0.1331414209534924,0.0208406684631637,0.5109201876129833,2.25300019573178,0.9788579397143636,0.3625695985706954,0.6162883411436683,2.2530001957317802
source,CALB,300,500,0.3,100,20260702,20,1,6.0,0.31,0,1,0.69,0.1052442676264708,-1.4865985690508876,0.0135043077088275,0.0123774058997267,0.0011504665802803,0.0271392046424455,8.605256844006693,0.3112153576489167,0.2774592324849215,0.0337561251639952,8.605256844006716
source,CALB,300,800,0.3,100,20260702,20,1,6.0,0.36,0,1,0.64,0.2764390305912074,-0.5986275034171402,0.1290122744651947,0.0779297084789478,0.0114852562127348,0.3426376667062511,2.78409778040419,0.6557089104964942,0.4487077854568984,0.2070011250395957,2.784097780404191
source,CALB,300,1000,0.3,100,20260702,18,1,6.0,0.27,0,1,0.73,0.2569273321356322,-0.2119650653419548,0.1380215822250264,0.0353372042694711,0.0096522482423515,0.4533605128895292,2.691699037163389,0.9360646978824992,0.7030204681923534,0.2330442296901455,2.691699037163389
source,HUST,150,500,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.0993249133992989,-0.939375094715884,0.0755715022020241,0.0640182949109492,0.0423618864889444,0.1209316774736135,3.637650517165015,0.3923936146997208,0.3923936146997208,0.0,3.637650517165016
source,HUST,150,800,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.1128919828653382,-0.3229330950076926,0.160994401634256,0.1202257634507371,0.0797272631677306,0.319703077650681,2.492267262902232,0.7290236250492435,0.7290236250492435,0.0,2.4922672629022316
source,HUST,150,1000,0.3,100,20260702,77,1,24.0,0.29,0,1,0.71,0.1426745623986493,-0.002871764244035,0.2938493156044219,0.2485697550084626,0.1257227074266936,0.5677230554385359,1.844750591314347,0.9855484131654004,0.7010963168345896,0.284452096330811,1.844750591314347
source,HUST,200,500,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.0991619727300912,-1.093630622924219,0.0680439191294002,0.056748599583233,0.0396669558314308,0.1118249882805075,3.833587145466452,0.3374206599315613,0.3374206599315613,0.0,3.8335871454664554
source,HUST,200,800,0.3,100,20260702,77,0,24.0,0.0,0,0,1.0,0.1153784718816464,-0.4018638143856225,0.1669875637698854,0.1112658887915113,0.0717013762523833,0.3419943685309564,2.447135040027483,0.6735406140794844,0.6735406140794844,0.0,2.4471350400274834
source,HUST,200,1000,0.3,100,20260702,77,1,24.0,0.34,0,1,0.66,0.1506215403953592,-0.0592951730555968,0.327143605035052,0.301383303109936,0.1241494054926784,0.5983321886765154,1.7483596800393806,0.9323081528029846,0.6168800687687694,0.3154280840342152,1.7483596800393806
