model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
gamma,matr,normalised,fair,truncH,1.0,200,800,,,,-9618.517134432925,True,94,42.494993272978505,1.1995524849502506,0.002684790952592755,0.03172588832487311,0.09511061408414687
wiener,matr,normalised,fair,truncH,1.0,200,1000,0.23691271576142928,0.016364482732169363,0.002720223103667723,-6918.4919802677505,True,80,,,,,
gamma,matr,normalised,fair,truncH,1.0,200,1000,,,,-8544.142649239697,True,80,36.38484273028424,1.285205478149825,0.004454134741780297,0.03172588832487311,0.1260988961177448
wiener,matr,normalised,fair,truncH,1.0,300,500,16.027762591061645,1.6681005372000487e-21,0.06464586830439444,-3187674473.858164,False,95,,,,,
gamma,matr,normalised,fair,truncH,1.0,300,500,,,,-7234.373667444508,True,95,66.60968801855932,1.2929604485166286,0.0010762463152669884,0.03172588832487311,0.055445185019622166
wiener,matr,normalised,fair,truncH,1.0,300,800,0.20198257461829627,0.01461302312791511,0.002421621552344063,-7496.081261435313,True,92,,,,,
gamma,matr,normalised,fair,truncH,1.0,300,800,,,,-9572.9977236626,True,92,42.27932308701881,1.215144403398247,0.0026884261292878,0.03172588832487311,0.09354018880214535
wiener,matr,normalised,fair,truncH,1.0,300,1000,0.22708966100806885,0.013455911203468878,0.002689973129304653,-6881.713628903385,False,78,,,,,
gamma,matr,normalised,fair,truncH,1.0,300,1000,,,,-8499.202923879331,True,78,36.18205615588681,1.2944990896135582,0.004432369208263064,0.03172588832487311,0.12388748117611505
wiener,matr,cycle,published,truncH,1.0,150,500,0.00021434475300533375,2.7524284477211067e-08,2.930421485479225e-06,-5281.229235100247,True,97,,,,,
gamma,matr,cycle,published,truncH,1.0,150,500,,,,-7281.510134429656,False,97,0.0851029002877845,1.251019820212915,0.0010532002949234962,25.0,7.164586702286223e-05
wiener,matr,cycle,published,truncH,1.0,150,800,0.00026756673750442933,2.836350380959401e-08,3.110622012836961e-06,-7530.794146243019,True,94,,,,,
gamma,matr,cycle,published,truncH,1.0,150,800,,,,-9618.517134432923,True,94,0.05392765444538719,1.1995524017491632,0.0026847908526869747,25.0,0.00012069874825869864
wiener,matr,cycle,published,truncH,1.0,150,1000,0.00030065064188019035,2.6354202397435857e-08,3.4520597915246496e-06,-6918.4919802677505,True,80,,,,,
gamma,matr,cycle,published,truncH,1.0,150,1000,,,,-8544.1426492397,True,80,0.046173658206767894,1.2852058205723136,0.004454135466777005,25.0,0.00016002396297740083
