model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog hazard model,matr,cycle,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,cycle,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.2989061543964117,0.04974735215213478,0.19021822721564988,0.9697802197802198
wiener,matr,cycle,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.40939690008980256,0.2485738145505875,0.6880042775829369,0.6426592797783934
gamma,matr,cycle,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.2310380795256161,0.34213253540482436,0.9938430553650107,0.6426592797783934
cloglog hazard model,matr,cycle,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,cycle,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,cycle,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.6514466532751038,0.2416485043619522,0.7004182359790793,0.4545454545454545
gamma,matr,cycle,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.4501109565068106,0.3596411536963876,1.095545611353868,0.4545454545454545
cloglog hazard model,matr,cycle,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,cycle,fair,truncH,1.0,150,1000,32,0,32,22,0.6875,0.6705144162359845,0.07665560413798284,0.2506701181752247,0.9545454545454546
wiener,matr,cycle,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.03951865825988196,0.2928422244494569,1.4862153239245581,0.728021978021978
gamma,matr,cycle,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.03874663126935924,0.2979786579724386,2.505130694642974,0.728021978021978
cloglog hazard model,matr,cycle,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,cycle,fair,truncH,1.0,200,500,41,0,41,13,0.3170731707317073,0.28653284292213244,0.04217170260672579,0.1533676728881329,0.978021978021978
wiener,matr,cycle,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.3061817675907287,0.2590905794696473,0.7061053028240365,0.7423822714681441
gamma,matr,cycle,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.1370352673864453,0.38051184482022293,1.294743327493701,0.7423822714681441
cloglog hazard model,matr,cycle,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,cycle,fair,truncH,1.0,200,800,38,0,38,19,0.5,0.506551212591819,0.0602475817584634,0.20617653453942536,0.9861495844875346
wiener,matr,cycle,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.569152943038195,0.2423140862673208,0.6845282646619013,0.5590909090909091
gamma,matr,cycle,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.3277368511934544,0.39814681490428505,1.333924814052865,0.5590909090909091
cloglog hazard model,matr,cycle,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,cycle,fair,truncH,1.0,200,1000,32,0,32,22,0.6875,0.6830087532651454,0.07184485971162244,0.22772359413051305,0.959090909090909
wiener,matr,cycle,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.020487415417548487,0.2950303724174978,2.565180795151318,0.8379120879120879
gamma,matr,cycle,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.046966852047695413,0.2693002529379323,3.5270693600735328,0.8351648351648351
cloglog hazard model,matr,cycle,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.25336885741684917,0.04683041868269472,0.5845300311627237,0.9601648351648352
random forest,matr,cycle,fair,truncH,1.0,300,500,41,0,41,13,0.3170731707317073,0.2869243826782586,0.03932879241212013,0.12758477587459674,0.989010989010989
wiener,matr,cycle,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.18911089294865,0.2820940177663063,0.7999213256310724,0.8614958448753463
gamma,matr,cycle,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.10643700734923589,0.37460421704263314,1.786406778937272,0.8642659279778393
cloglog hazard model,matr,cycle,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.568528081971048,0.06910656228594474,0.28616110354983754,0.9806094182825486
random forest,matr,cycle,fair,truncH,1.0,300,800,38,0,38,19,0.5,0.5515091411186204,0.057190198629452016,0.19530521408221477,0.9833795013850415
wiener,matr,cycle,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.4635823618388868,0.2414917657040571,0.6816389423955456,0.7
gamma,matr,cycle,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.26113410847317353,0.3937006018597386,1.8280099738057567,0.7045454545454546
cloglog hazard model,matr,cycle,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.7371884527055853,0.0842793904075986,0.790756673662075,0.9204545454545454
random forest,matr,cycle,fair,truncH,1.0,300,1000,32,0,32,22,0.6875,0.7069303133163606,0.07436985730997422,0.23218033956349043,0.9590909090909091
wiener,matr,normalised,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.06937615309259557,0.28767463412570715,1.1208620931471027,0.6126373626373627
gamma,matr,normalised,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.06292560686295962,0.3079447203166872,1.7524101376887773,0.6126373626373627
cloglog hazard model,matr,normalised,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,normalised,fair,truncH,1.0,150,500,41,0,41,13,0.3170731707317073,0.29890615439641177,0.049747352152134765,0.19021822721564988,0.9697802197802198
wiener,matr,normalised,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.40939689764976056,0.24857381511587656,0.6880042785742019,0.6426592797783934
gamma,matr,normalised,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.23103807538170523,0.34213253868892984,0.9938430718660598,0.6426592797783934
cloglog hazard model,matr,normalised,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,normalised,fair,truncH,1.0,150,800,38,0,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
